,0
309,"butorCome, Ye Thankful People, Come LyricsCome, ye thankful people, come, raise the song of harvest home
All is safely gathered in, ere the winter storms begin
God our Maker doth provide for our wants to be supplied
Come to God's own temple, come, raise the song of harvest home

All the world is God's own field, fruit unto His praise to yield
Wheat and tares together sown unto joy or sorrow grown
First the blade and then the ear, then the full corn shall appear
Lord of harvest, grant that we wholesome grain and pure may be

For the Lord our God shall come and shall take His harvest home
From His field shall in that day all offenses purge away
Giving angels charge at last in the fire the tares to cast
But the fruitful ears to store in His garner evermore

Even so, Lord, quickly come, bring Thy final harvest home
Gather Thou Thy people in, free from sorrow, free from sin
There, forever purified, in Thy garner to abide

Come, with all Thine angels come, raise the glorious harvest homeYou might also likeEmbe"
310,"butorsAll Creatures of Our God and King Lyrics[Verse]
All creatures of our God and king
Lift up your voice and with us sing
Alleluia! Alleluia!
Thou burning sun with golden beam
Thou silver moon with softer gleam

[Chorus]
Alleluia! Alleluia! Alleluia! Oh, praise Him! Alleluia!

[Verse]
Thou rushing wind that art so strong
Ye clouds that sail in heav'n a long
Alleluia! Alleluia!
Thou rising morn in praise rejoice
Ye light of evening find a voice

[Chorus]
Alleluia! Alleluia! Alleluia! Oh, praise Him! Alleluia!

[Verse]
Thou flowing water pure and clear
Make music for thy Lord to hear
Alleluia! Alleluia!
Thou fire so masterful and bright
That gives to man both warmth and light
[Chorus]
Alleluia! Alleluia! Alleluia! Oh, praise Him! Alleluia!You might also likeEmbe"
311,"butorsBrethren We Have Met To Worship LyricsBrethren, we have met to worship and adore the Lord our God; Will you pray with all your power, while we try to preach the Word? All is vain unless the Spirit of the Holy One comes down; Brethren, pray, and holy manna will be showered all around

Brethren, see poor sinners round you slumb'ring on the brink of woe; Death is coming, hell is moving, can you bear to let them go? See our fathers and our mothers, and our children sinking down; Brethren, pray, and holy manna will be showered all around

Sisters, will you join and help us? Moses' sister aided him; Will you help the trembling mourners who are struggling hard with sin? Tell them all about the Savior, tell them that He will be found; Sisters, pray, and holy manna will be showered all around

Brethern we were meant to worship and adore the Lord our GodYou might also likeEmbe"
312,"butorsGo LyricsWith so many people living in the world
How can we live so causally
And so many children who've never even heard
Crying alone in the streets

When will we show them
The light of the world is Jesus?
When will we lay down our gold
And our pearls for their freedom?

Oh, with so many people dying everyday
How can you say there's nothing to see
And the world around is in constant decay
Give them the chance to be free

When will we show them
The light of the world is Jesus?
And when will we lay down our gold
And our pearls for their freedom?

Oh, go into the world
And make disciples in every land
Go into the world
And heal them in the Jesus' Name
Go
You might also likeWith so many living
Without hope in the world
Do we really believe they'll die
I can't understand what we're waiting for
We're wasting time

When will we show them
The light of the world is Jesus? Yeah
When will we lay down our gold
And our pearls for their freedom?

Go into the world
And make disciples in every land
Go into the world
And heal them in the Jesus' Name
Go

He said to go

Go into the world
And make disciples in every land
Go into the world
Heal them in the Jesus' Name

Go into the world
And make disciples in every land
Go into the world
And heal them in the Jesus' Name
GoEmbe"
313,"butorsHomecoming LyricsThere'll be a homecoming some morning
When Jesus calls us away
I'll see mother and daddy
Lord I am ready
For Heaven's homecoming day

Precious ones have gone on before
Our Lord waits for no man
Salvation will gain us
A ticket to see them
And a place in God's final plan

There'll be a homecoming some morning
When Jesus calls us away
I'll see mother and daddy
Lord I am ready
For Heaven's homecoming day

He will come like a thief in the night

To take us to Heaven on high
There we'll gather once more
With those we adore
In a place where we never shall die

There'll be a homecoming some morning
When Jesus calls us away
I'll see mother and daddy
Lord I am ready
For Heaven's homecoming day
(key change)
There'll be a homecoming some morning
When Jesus calls us away
I'll see mother and daddy
Lord I am ready
For Heaven's homecoming daySee Rhonda Vincent LiveGet tickets as low as $63You might also likeEmbe"
314,"butorsPsalm LyricsI don't need your god
I don't need your eternal, paternal god

Don't need your reassuringly protective
Good and evil in perspective god

Don't need no imported, distorted, inflated, updated holy roller, save your soul, or anaesthetisingly opiate god

Don't need no, ""All creatures that on earth do dwell; be good or you go to hell"" god

Don't need no ""Hare Krishna! Hare Krishna! Hail Mary! Hail Mary!"" god

Got no yen for zen, Bhagavad Gita, or gurus

No mormons, methodists, seventh-day adventist gods. No absolutes beyond refute - the reverential, preferential, Judaic, messianic god

No bibles, no mahajanas, instant dharma gods

Don't need no spiritual suicide, prefrontal lobotomising god
Don't need no stoic, sexless, antiseptic god
Don't need no neon crucifix
No crusade, no burka, or kabbalah
No camels, or needles, or papal decrees
No mail order icons, korans or mandalas
No Meher Babas
No imams or ayatollahs
You might also likeNo sharia
No opus dei
No dianetics
No tarot or beads
No devadasi
No immortal, invisible ""God's only wise.""

Don't need no televised, circumcised, incessant, incandescent gods
I don't need your gods

I need human beings
The beasts of the field
The earth and the stars

I need some kind of love
I need youEmbe"
315,"butorsO Worship the King (Live) LyricsO worship the King, all glorious above
O gratefully sing His wonderful love
Our Shield and Defender, the Ancient of Days
Pavillioned in splendor, and girded with praise

O tell of His might, O sing of His grace
Whose robe is the light and canopy space
His chariots of wrath the deep thunderclouds form
And dark is His path on the wings of the storm

You alone are the matchless King
To You alone be all majesty
Your glories and wonders, what tongue can recite?
You breathe in the air, You shine in the light

O measureless might, ineffable love
While angels delight to worship above
Thy mercies how tender, how firm to the end
Our Maker, Defender, Redeemer, and Friend

You alone - spoken

You alone are the matchless King
To You alone be all majesty
Your glories and wonders, what tongue can recite?
You breathe in the air, You shine in the light
You might also likeYou alone - spoken

You alone are the matchless King
To You alone be all majesty
Your glories and wonders, what tongue can recite?
You breathe in the air, You shine in the light

Shine in the light
You shine in the light

O worship the King, all glorious above
O gratefully sing His wonderful love
Our Shield and Defender, the Ancient of Days
Pavillioned in splendor, and girded with praiseEmbe"
316,"butorForciful LyricsI don’t even know what I’m doing anymore
[Verse]
Let's go, there’s a thing we need to do
Flingin with them dudes who reek of cingulum abuse
(What the deuce? Is there a sentimental truce?
Why would I wear the noose if they are of actually no use?)
Hold your hooves, the court is in session
The master hath come, with no previous intuition
Sadly, I can’t get a word in, cause the horde grins at every little thing that he sings
//Pirates, Plunderers Anonymous
Thinking they can fly cause they lay eggs platypus
Its funny how they waddle their bills
Ready to get gold but I keep my butt sealed
Incantations they prefer, easy to decipher
Hoisting me up while they cup their hands tighter
As the higher that I go, the more power they derive
But their fates fall in my hand, whatever I decide.//
Surely, my efforts gotta fertilize
Fruits enormous sized that  oughta energize
Whatever we wanna summon, Just press the damn button
We need to see it now, with the thousand eyes on em
Its common, how they act, Gaze on all the traps
It lays forward a path, that caters to their strats
So Delirious in fact, it bolsters the impact
As Experiences of the past keep our flow  inapt
Snap,(//Snap//)
//The Chords keep breaking
As The host of the toast, keep the stereo Blaring
While the taste of the Cash Ew, keeps the rest statue
History’s Askew, Cause we have the true O view
Oooh, Memories abundant
Half of youse won’t use what feels so repugnant
Obviously it won’t matter in the end
Just pretend, it didn’t happen cautiously condemned
Cause
It isn’t worth it, what you want is just the surface for The palace is a mess, it's not something you wanna covet,//
However we want it, there is something so alluring, Motivation Precipitation just Fallin in Jacuzzis
//Swallow your ambitions, think nothing of the end, bend for the others who won't dare lend a hand,//
Meant for the stars, written on the cards, barely enchanted by the words of old farts
Masterful handicrafts That’s what I truly have, First is the talent the rest will come follow that
//Had you been listening the Glistening, would’ve faded away, made out of clay your life is for theirs to play,//
Try and sway but I know what I have to do, new is the view it's true I choose for you to lose
//Fools getting ahead for their own good, So crude, trading food for their own tooth.//
You might also likeHey Ho, Say so what's good
They hope they know the truth
Take over all the rules
//Ha, They can try but it won't fly.//

Wait tho, They Wanna cruise
Bait's on all of the hooks
Game Over once they lose
//Ha, Make sure it's All Our Side
Yeah, Make sure it's All Our Side
Make sure it's All Our Side
Make sure it's All Our Side//Embe"
317,"butorThe Haven of Rest LyricsMy soul in sad exile was out on life’s sea
So burdened with sin and distressed
Till I heard a sweet voice, saying
“Make Me your choice”;
And I entered the “Haven of Rest”!

Chorus:
I’ve anchored my soul in the “Haven of Rest,”
I’ll sail the wide seas no more;
The tempest may sweep over wild, stormy, deep
In Jesus I’m safe evermore

I yielded myself to His tender embrace
In faith taking hold of the Word
My fetters fell off, and I anchored my soul;
The “Haven of Rest” is my Lord

Chorus

The song of my soul, since the Lord made me whole
Has been the old story so blest
Of Jesus, Who’ll save whosoever will have
A home in the “Haven of Rest.”

Chorus
You might also likeO come to the Savior, He patiently waits
To save by His power divine;
Come, anchor your soul in the “Haven of Rest,”
And say, “My Beloved is mine.”Embe"
318,"
Angels from the realms of glory
Wing your flight through all the earth
Ye who sang creation's story
Now proclaim the Messiah's birth

[Chorus]
Gloria
In Excelsis Deo
Gloria
In Excelsis Deo

"
319,"
Angels we have heard on high
Sweetly singing o'er the plains
And the mountains in reply
Echoing their joyous strains

[Chorus]
Gloria in excelsis Deo
Gloria in excelsis Deo

"
320,"
Come, Christians, join to sing
Alleluia! Amen
Loud praise to Christ we bring
Alleluia! Amen
Let all, with heart and voice
Before His throne rejoice
Praise is His gracious choice
Alleluia! Amen

"
321,"
Leaving Heaven’s throne for earth
With eternity in mind
To redeem the wounded soul
To bring the wayward home

"
322,"butorsCrown Him With Many Crowns LyricsCrown Him with many crowns
The lamb upon the throne
Hark! How the heav'nly anthem drowns
All music but it's own!
Awake, my soul, and sing
Of Him who died for thee
And hail Him as thy matchless king
Thru all eternity

Crown Him with many crowns (2x)

Crown Him the Lord of heav'n
One with the Father known
One with the spirit thru Him giv'n
From yonder glorious throne
To thee be endless praise
For thou hasat died for me
Be thou, O Lord, thru endless days

Adored and magnified

Crown Him with many crowns

His glories now we sing
Who died and rose on high
Who died eternal life to bring
And lives that death may die
See Michael W. Smith LiveGet tickets as low as $42You might also likeCrown Him with many crowns (Repeat to end)Embe"
323,"
Jesus, beautiful Saviour
God of all majesty, risen King

"
324,"butorsMore Than Ever LyricsWhen I started my journey in fresh childlike trust
I believed that the Lord’s way was best
I would read in His Word how He mothered the bird
And grieved when it fell from it's nest
How I felt His delight when I chose to do right
And I prayed I would not make Him sad
We would meet on the way in the cool of the day
What a pure sweet communion we had

CHORUS:
Oh, but now more than ever I cherish the cross
More than ever I sit at His feet
All the miles of my journey have proved my Lord true
And He is so precious to me
The road I have traveled has sometimes been steep
Through wild jagged places of life
Sometimes I’ve stumbled and fallen so hard
That the stones cut my soul like a knife
But the staff of my Shepherd would reach out for me
And lift me to cool pastures green
With oil of the spirit anointing my wounds
There I’d rest by the clear healing stream
CHORUS
Is Love’s Old Sweet Story too good to be true?
Do you find all this hard to believe?
Has the cruel world we live in so battered your heart
That the hurt child inside you can’t grieve?
I can’t say I blame you
I’ve been where you are
But all I can say is
It’s true!
You’re wanted
You’re precious
You’re the love of His heart
And the old rugged cross was for you
CHORUS
---See The Gaither Vocal Band LiveGet tickets as low as $10You might also likeEmbe"
325,"butorHe Keeps Me Singing LyricsThere's within my heart a melody
Jesus whispers sweet and low
Fear not, I am with Thee, peace be still
In all of life's ebb and flow

All my life was wrecked by sin and strife
Discord filled my heart with pain
Jesus swept across the broken strings
Stirred the slumbering chords again

Oh, Jesus, Jesus, Jesus
Sweetest Name I know
Fills my every longing
Keeps me singing as I go

Feasting on the riches of His grace
Resting 'neath His sheltering wing
Always looking on His smiling face
That is why I shout and sing

Oh, Jesus, Jesus
Sweetest Name I know
He fills my every longing
Keeps me singing as I go

Oh, yes
Sweet music, yeah
You might also likeAnd though sometimes He leads
Through the waters deep
Trials fall all across the way
And though sometimes the path
Gets rough and steep
I see His footprints all the way

Oh, Jesus, Jesus
Sweetest Name I know
He fills my longing
And keeps me singing as I go

Soon He's coming back to welcome me
Far beyond the starry sky
And I shall wing my flight
To worlds unknown
I shall reign with Him on high

Oh, Jesus, Jesus, Jesus
Sweetest Name I know
He fills my longing
Keeps me singing as I go, yes

I'm singing the melody and harmony
He keeps me singing as I goEmbe"
326,"butorsWhen I Became a Man LyricsWhen I became a man
I put away childish things
But before I became a man, I didn't always fit the shoes of a king
I was so lost and alone
Listening to a world that said do it on your own
Jesus was an afterthought, this world was my home
Bumping Marshall Mathers in my car like yeah I'm grown
Forget putting God first, I was the lord of my own throne
And searching for satisfaction is all that I'd known
Because before I became a man, I was just another middle-class clone
But when I became a man, I woke up
I stopped wasting my life hoping and wishing that a better life would just show up
I started listening to my mom who for so long said, ""Son, you need to grow up""
So I grew up, and then the thought of an average life made me wanna throw up
So I threw up, yeah
I threw up my hands and said, ""God, I'm tired of being a boy, I'm ready to be a man""
Because one day, when my son takes my hand
I want him to know that it's not about what his dad said, it's about where his dad stands
I want him to know that I believe in a God who inspires us to have big dreams and bigger plans
I want him to know that, ""Son, if God is for you, the naysayers of this world do not stand a chance""
Because there's a difference between being a boy and being a man
When I became a man, I was ridiculed and laughed at
Whispers behind my back like, ""Is he really like that?""
""He must be uneducated""
I was put down and degraded
Friendships lost, relationships faded
Only because I chose to live the life for which I've been created
It's funny how when you mention Jesus you're suddenly hated
It's funny because that's the same people who came back around years later
When they saw me in the paper doing things with my life and giving glory to my Savior
And then I'd get a text, an e-mail, a call
""My life is in ruins, can we talk at all?""
Yeah, we can talk, 'cause I'm still here
But I'm just gonna tell you about Jesus even if it's not what you wanna hear
But I'm guessing that you already knew that I would
Because you used to make fun of me for it, misunderstood
So tell me about your life
And I'll tell you about your need for Christ
And we can keep our conversations secret
Your texts about wanting to know more about Jesus, don't worry, no one will see it
But I hope one day you see fit
To step out of the pit that you're trapped in
And run to Jesus and take His hand and find a life filled with purpose and passion
As for the jokes that you cracked when I took a stand
Don't worry about it, life isn't easy when you leave the boys to become a man
When I became a man I did away with the notion of living for the weekend
Because I looked at society, and all I saw was weak men
Giving up on Monday, dying for Friday
Traveling in leased cars on the highways and byways
Like material things is all that defines me
Headed to cubicle jobs, trying to climb the ladder
Clinging to money like it's all that matters
Boys who never became men
Stuck forever in the past tense
Trapped in spiritual adolescence
I became a man, I looked at my peers and said, ""I do not wanna be like them""
Clinging to the latest trend, dying to fit in
Judging each other by the cars that they're in
""He's the man, he drives a Benz""
When I became a man, I said I want something more for my life
More than getting wasted under neon lights on Friday nights
Only to wake up on Saturday morning with plans to do it again
There are too many boys in this world and not enough men
I became a man, I said that when I leave this world, I want my life to have had purpose
So I stopped wasting my life on things that are worthless
Every minute on the couch in front of the TV was a wasted moment on a journey that should be defining me
A journey of forming a legacy
And I didn't want that legacy to be neglected
So I looked at this world, and I didn't accept it
I'm not gonna be who you want me to be, no, I absolutely reject it
When I became a man, I picked up my cross and put down my shame
My sins were forgiven in Jesus name
In Jesus name
My sin will forever remain an afterthought of who I used to be but no longer am
Because God saw fit to crucify the Lamb
So that I could land in His ocean of grace
And find my rest in His holy place
Because He took my place, He took my nails
He took my hell, He took my cost
He took it all because He had a plan
And for the first time I saw it when I became a manYou might also likeEmbe"
327,"butorsPraise to the Lord, the Almighty LyricsPraise to the Lord, the almighty, the king of creation. Oh my soul, praise him, for he is thy health and salvation. All you who hear, now to his temple draw near, join in in glad adoration. Praise to the Lord, who o'er all things so wondrously reigneth. Shelters thee under his wings yes so gently sustaineth. Hast thou not seen, how all thy longings have been granted in what he ordaineth? Praise to the Lord, who doth prosper thy work and defend thee. Surely his goodness and mercy, he?ll daily attend thee. Ponder anew, what the almighty can do, if with his love he?ll befriend thee. Praise to the Lord, oh let all that is in me adore him. All that hath life and breath come now with praises before him. Let the amen sound from his people again, gladly for aye we adore him

Praise to the Lord
The almighty, the king of creation
Oh my soul, praise him
For he is thy health and salvation
All you who hear
Now to his temple draw near
Join in in glad adoration
Praise to the Lord
Who o'er all things so wondrously reigneth
Shelters thee under his wings
Yes so gently sustaineth
Hast thou not seen
How all thy longings have been
Granted in what he ordaineth?
Praise to the Lord
Who doth prosper thy work and defend thee
Surely his goodness and mercy
He?ll daily attend thee
Ponder anew, what the almighty can do
If with his love he?ll befriend thee
Praise to the Lord
Oh let all that is in me adore him
All that hath life and breath
Come now with praises before him
Let the amen sound from his people again
Gladly for aye we adore himYou might also likeEmbe"
328,1
